Location,Bees,Birds,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
HP40,1.4,37.2415,191.9,9.1,23.1,16.3,3.3,NA,41.1,0.8,238
HP50,1.4,44.7994,193.5,11.6,26,17.6,3.3,1.5,64.1,0.8,229.7
HP51,1.4,43.1127,192.2,9.2,26.6,17.9,3.3,NA,70.2,0.8,232.1
HP60,1.6,45.3699,194.5,8.3,26.7,17.8,3.3,1.5,71,0.8,223.6
HP61,1.4,44.5238,193,11.2,24.9,18.5,3.3,1.5,71.8,0.8,222.6
HT93,1.4,41.3043,201.3,9.1,27.6,19.2,3.3,NA,70.5,0.8,229.5
HT94,1.4,37.7227,194.5,9.1,26.6,16.6,3.2,NA,40.1,0.8,225
HU14,1.5,38.085,192.8,9,26,17.2,3,NA,42.2,0.8,219.8
HU15,1.4,42.3007,192.1,9.3,28.8,19.7,3.2,NA,70.3,0.8,224.6
HU16,1.4,37.914,195.9,9.1,26.1,18.7,3.3,NA,44,0.8,221.8
HU24,1.4,43.3407,192.9,9.5,26.1,19.5,3.3,1.5,71,0.8,218.6
HU25,1.6,44.2933,194.5,11.1,25.9,21,3.3,1.5,74.1,0.8,228.9
HU26,1.5,38.9931,192,9.2,24.1,17.5,3.1,NA,46.9,0.8,243.3
HU27,1.4,42.5995,188.8,9.2,27.3,19.2,3.2,NA,67.5,0.8,229
HU28,1.4,41.437,195.2,9.5,26.4,18.9,3.3,1.5,68,0.8,238.2
HU30,1.2,36.2443,190,9.1,26.2,17.9,3.2,NA,40.5,0.8,247.3
HU31,1.6,44.6661,192.3,5.9,20.4,18.1,3.3,1.5,61.7,0.8,248.4
HU32,1.5,42.1947,190.6,9.2,28.1,20.3,3.2,NA,72.4,0.8,227.9
HU33,1.4,42.6878,193.2,9.1,29,19.6,3.2,NA,66.9,0.8,221.4
HU34,1.5,43.3927,191.9,11,26.2,20,3.3,1.5,71.6,0.8,223.4
HU35,1.8,44.315,195.3,8.8,26.2,20.9,3.3,1.5,76.4,0.8,242.3
HU36,1.5,43.2704,201.1,9.7,27.9,20.4,3.3,1.5,72.3,0.8,240.1
HU37,1.4,43.284,195.9,11.3,27.3,19.5,3.3,1.5,71.2,0.8,233.2
HU38,1.5,41.9967,200.3,11.5,25,18.2,3.3,1.5,72,0.8,245.7
HU39,1.4,41.9603,195.2,9.1,26.9,18.4,3.3,NA,66.7,0.8,222
HU40,1.2,37.6939,190.9,9.1,26.1,18,3.2,NA,41.6,0.8,244.8
HU41,1.4,42.8411,190.4,9.3,26.2,19,3.2,NA,70.8,0.8,227.3
HU42,1.5,43.3282,191.6,9.5,29,19.4,3.3,1.5,72.2,0.8,221.1
HU43,1.5,44.1968,192.3,5.7,23.6,18.6,3.3,1.5,73.9,0.8,230.2
HU44,5.3,44.6866,194.2,9.1,21.1,19.2,3.3,1.5,78.5,0.8,232
HU45,1.4,43.9472,194.7,5.9,27,19.6,3.3,1.5,72.3,0.8,240.7
HU46,1.5,43.5455,193.8,8.6,27.3,19.7,3.3,1.5,73.4,0.8,242.4
HU47,1.4,41.0956,194.5,9.2,26.8,17,3,1.5,73.2,0.8,241
HU48,1.4,42.7055,191.9,9.5,28.7,18.9,3.3,NA,70.7,0.8,239.5
HU49,1.4,42.0609,191.6,9.8,26.4,17.7,3.3,NA,71.1,0.8,237.4
HU53,1.5,38.5926,192.9,9.1,25.8,17.6,3.2,NA,61.4,0.8,241.7
HU54,1.4,42.0321,191.4,9.1,28.5,19.9,3.1,NA,69.9,0.8,220.9
