Location,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
HP40,1.9,38.361,245.2,10.3,7.5,10.7,3.1,1.6,75.2,NA,187.9
HP50,3.2,50.907,241.3,10.1,15.7,10,2.3,0.8,109.5,0.8,168.1
HP51,3.2,47.2205,243.1,7.9,15,9.5,2.3,1,107.9,0.8,173.1
HP60,4.5,52.5558,237.7,9.6,15.5,10.1,3.1,0.9,116,0.8,180.7
HP61,2.7,50.7113,237.3,14.7,16.7,9.8,2.3,0.8,109.6,0.8,178.6
HT93,2.4,49.0186,247.7,10.4,13.6,9.6,2.3,2.1,105,0.8,165.9
HT94,2,39.2053,237.7,10.9,8.1,10.3,3,1.5,81.9,NA,158.4
HU14,4.1,39.0983,241.1,10.3,7.7,10.3,3.1,1.7,84,NA,179.7
HU15,2.6,49.429,240.4,8.7,15,9.2,2.3,0.9,104.3,0.8,164.2
HU16,2.8,40.5839,245.7,6.7,9.2,10,2.9,2.1,75.2,NA,178.5
HU24,3,52.2207,238.6,9.5,14.5,9.8,2.3,0.8,111.2,0.8,163.2
HU25,4.7,54.0172,247.7,9.4,17.4,10.4,2.4,0.8,117.1,0.8,175.5
HU26,2.5,40.4998,243,5.7,11.5,10.5,3.1,1.5,106.5,NA,186.9
HU27,2.3,48.4068,240,9.1,12.5,9.7,2.3,0.8,110.1,0.8,187.1
HU28,2.1,46.8246,249.6,9.6,15,9.2,2.3,0.8,108.7,0.8,189.3
HU30,5.1,41.6305,240,8.3,8,8.6,2.3,2,77,NA,190
HU31,4.1,54.6513,246.5,12.6,13.9,9.5,0.8,2.3,108.7,0.8,189.4
HU32,2.7,50.1381,237.3,10.3,14.8,9.5,2.3,1,104.6,0.8,169.2
HU33,2.9,50.7927,240.7,9,13.9,9.8,2.3,1,103.2,0.8,179.5
HU34,2.7,52.8706,240.4,9.9,16.7,10.3,2.4,0.8,112.5,0.8,166.5
HU35,5.5,54.4754,247.6,9.5,17.7,10.4,3,0.9,120.8,0.8,190.3
HU36,2.7,51.9467,250.9,6,17,9.9,2.3,0.8,112.7,0.8,196.1
HU37,2.6,51.4734,246.6,6.1,17,10,2.3,0.8,112.7,0.8,180.7
HU38,2.1,47.725,254.2,5.9,15.3,9.9,2.3,1.3,110.6,0.8,179.9
HU39,1.9,45.9696,240.7,5.2,15.2,10.5,2.3,1.5,101.7,0.8,161.6
HU40,4.7,44.7862,243.6,7.8,8.4,6.2,2.3,1.4,86.7,0.8,187.9
HU41,3.3,50.3642,240,10.6,13.7,9,2.3,0.9,96.4,0.8,185
HU42,2.7,52.718,240.1,12.8,14.1,10.1,2.3,0.8,105.1,0.8,177.5
HU43,3.1,54.4628,240.8,10,14.7,10.2,3.1,0.8,111.9,0.8,166.7
HU44,4.1,55.2223,244.6,9.5,13.6,10.2,0.8,0.8,119.1,0.8,169.6
HU45,3.3,53.2404,249.3,9.5,17.2,10.3,2.3,0.8,112.7,0.8,189.7
HU46,2.7,52.3453,247.3,9.4,17.3,10.1,2.3,0.8,112.7,0.8,192.4
HU47,2.6,47.1766,246.9,11.3,9.1,10.7,2.3,1.7,106.3,1.4,191.4
HU48,2.7,48.3046,244.7,9.4,16.4,9.1,2.3,1.2,103.1,0.8,191
HU49,1.8,46.643,244.8,5.7,14.8,10.1,2.4,1.3,110.1,0.8,186.5
